I10_PR,CCS,CCS_lvl1,CCS_lvl2
0TCC7ZZ,PR101,PR-10,PR-10.1
0TCC8ZZ,PR101,PR-10,PR-10.1
0TN07ZZ,PR101,PR-10,PR-10.1
0TN08ZZ,PR101,PR-10,PR-10.1
0TN17ZZ,PR101,PR-10,PR-10.1
0TN18ZZ,PR101,PR-10,PR-10.1
0TN37ZZ,PR101,PR-10,PR-10.1
0TN38ZZ,PR101,PR-10,PR-10.1
0TN47ZZ,PR101,PR-10,PR-10.1
0TN48ZZ,PR101,PR-10,PR-10.1
0TN67ZZ,PR101,PR-10,PR-10.1
0TN68ZZ,PR101,PR-10,PR-10.1
0TN77ZZ,PR101,PR-10,PR-10.1
0TN78ZZ,PR101,PR-10,PR-10.1
0TNB7ZZ,PR101,PR-10,PR-10.1
0TNB8ZZ,PR101,PR-10,PR-10.1
0TNC7ZZ,PR101,PR-10,PR-10.1
0TNC8ZZ,PR101,PR-10,PR-10.1
0T760DZ,PR102,PR-10,PR-10.1
0T763DZ,PR102,PR-10,PR-10.1
0T764DZ,PR102,PR-10,PR-10.1
0T767DZ,PR102,PR-10,PR-10.1
0T770DZ,PR102,PR-10,PR-10.1
0T773DZ,PR102,PR-10,PR-10.1
0T774DZ,PR102,PR-10,PR-10.1
0T777DZ,PR102,PR-10,PR-10.1
0T780DZ,PR102,PR-10,PR-10.1
0T783DZ,PR102,PR-10,PR-10.1
0T784DZ,PR102,PR-10,PR-10.1
0T787DZ,PR102,PR-10,PR-10.1
0T787ZZ,PR102,PR-10,PR-10.1
0T788ZZ,PR102,PR-10,PR-10.1
0T9600Z,PR102,PR-10,PR-10.1
0T9630Z,PR102,PR-10,PR-10.1
0T9640Z,PR102,PR-10,PR-10.1
0T9670Z,PR102,PR-10,PR-10.1
0T9680Z,PR102,PR-10,PR-10.1
0T9700Z,PR102,PR-10,PR-10.1
0T9730Z,PR102,PR-10,PR-10.1
0T9740Z,PR102,PR-10,PR-10.1
0T9770Z,PR102,PR-10,PR-10.1
0T9780Z,PR102,PR-10,PR-10.1
0T9800Z,PR102,PR-10,PR-10.1
0T9830Z,PR102,PR-10,PR-10.1
0T9840Z,PR102,PR-10,PR-10.1
0T9870Z,PR102,PR-10,PR-10.1
0T9880Z,PR102,PR-10,PR-10.1
0TC00ZZ,PR103,PR-10,PR-10.2
0TC03ZZ,PR103,PR-10,PR-10.2
0TC04ZZ,PR103,PR-10,PR-10.2
0TC07ZZ,PR103,PR-10,PR-10.2
0TC08ZZ,PR103,PR-10,PR-10.2
0TC10ZZ,PR103,PR-10,PR-10.2
0TC13ZZ,PR103,PR-10,PR-10.2
0TC14ZZ,PR103,PR-10,PR-10.2
0TC17ZZ,PR103,PR-10,PR-10.2
0TC18ZZ,PR103,PR-10,PR-10.2
0TC30ZZ,PR103,PR-10,PR-10.2
0TC33ZZ,PR103,PR-10,PR-10.2
0TC34ZZ,PR103,PR-10,PR-10.2
0TC40ZZ,PR103,PR-10,PR-10.2
0TC43ZZ,PR103,PR-10,PR-10.2
0TC44ZZ,PR103,PR-10,PR-10.2
0TB00ZZ,PR104,PR-10,PR-10.3
0TB03ZZ,PR104,PR-10,PR-10.3
0TB04ZZ,PR104,PR-10,PR-10.3
0TB07ZZ,PR104,PR-10,PR-10.3
0TB08ZZ,PR104,PR-10,PR-10.3
0TB10ZZ,PR104,PR-10,PR-10.3
0TB13ZZ,PR104,PR-10,PR-10.3
0TB14ZZ,PR104,PR-10,PR-10.3
0TB17ZZ,PR104,PR-10,PR-10.3
0TB18ZZ,PR104,PR-10,PR-10.3
0TB30ZZ,PR104,PR-10,PR-10.3
0TB33ZZ,PR104,PR-10,PR-10.3
0TB34ZZ,PR104,PR-10,PR-10.3
0TB37ZZ,PR104,PR-10,PR-10.3
0TB38ZZ,PR104,PR-10,PR-10.3
0TB40ZZ,PR104,PR-10,PR-10.3
0TB43ZZ,PR104,PR-10,PR-10.3
0TB44ZZ,PR104,PR-10,PR-10.3
0TB47ZZ,PR104,PR-10,PR-10.3
0TB48ZZ,PR104,PR-10,PR-10.3
0TT00ZZ,PR104,PR-10,PR-10.3
0TT04ZZ,PR104,PR-10,PR-10.3
0TT10ZZ,PR104,PR-10,PR-10.3
0TT14ZZ,PR104,PR-10,PR-10.3
0TT20ZZ,PR104,PR-10,PR-10.3
0TT24ZZ,PR104,PR-10,PR-10.3
