I10_DX,CCS,CCS_lvl1,CCS_lvl2
A609,DX7,DX-1,DX-1.3
A630,DX7,DX-1,DX-1.3
A820,DX7,DX-1,DX-1.3
A821,DX7,DX-1,DX-1.3
A829,DX7,DX-1,DX-1.3
A90,DX7,DX-1,DX-1.3
A91,DX7,DX-1,DX-1.3
A920,DX7,DX-1,DX-1.3
A921,DX7,DX-1,DX-1.3
A9230,DX7,DX-1,DX-1.3
A9232,DX7,DX-1,DX-1.3
A9239,DX7,DX-1,DX-1.3
A924,DX7,DX-1,DX-1.3
A925,DX7,DX-1,DX-1.3
A928,DX7,DX-1,DX-1.3
A929,DX7,DX-1,DX-1.3
A930,DX7,DX-1,DX-1.3
A931,DX7,DX-1,DX-1.3
A932,DX7,DX-1,DX-1.3
A938,DX7,DX-1,DX-1.3
A94,DX7,DX-1,DX-1.3
A950,DX7,DX-1,DX-1.3
A951,DX7,DX-1,DX-1.3
A959,DX7,DX-1,DX-1.3
A960,DX7,DX-1,DX-1.3
A961,DX7,DX-1,DX-1.3
A962,DX7,DX-1,DX-1.3
A968,DX7,DX-1,DX-1.3
A969,DX7,DX-1,DX-1.3
A980,DX7,DX-1,DX-1.3
A981,DX7,DX-1,DX-1.3
A982,DX7,DX-1,DX-1.3
A983,DX7,DX-1,DX-1.3
A984,DX7,DX-1,DX-1.3
A985,DX7,DX-1,DX-1.3
A988,DX7,DX-1,DX-1.3
A99,DX7,DX-1,DX-1.3
B000,DX7,DX-1,DX-1.3
B001,DX7,DX-1,DX-1.3
B002,DX7,DX-1,DX-1.3
B0081,DX7,DX-1,DX-1.3
B0082,DX7,DX-1,DX-1.3
B0089,DX7,DX-1,DX-1.3
B009,DX7,DX-1,DX-1.3
B0112,DX7,DX-1,DX-1.3
B0181,DX7,DX-1,DX-1.3
B0189,DX7,DX-1,DX-1.3
B019,DX7,DX-1,DX-1.3
B0221,DX7,DX-1,DX-1.3
B0222,DX7,DX-1,DX-1.3
B0223,DX7,DX-1,DX-1.3
B0224,DX7,DX-1,DX-1.3
B0229,DX7,DX-1,DX-1.3
B027,DX7,DX-1,DX-1.3
B028,DX7,DX-1,DX-1.3
B029,DX7,DX-1,DX-1.3
B03,DX7,DX-1,DX-1.3
B04,DX7,DX-1,DX-1.3
B054,DX7,DX-1,DX-1.3
B0589,DX7,DX-1,DX-1.3
B059,DX7,DX-1,DX-1.3
B0600,DX7,DX-1,DX-1.3
B0609,DX7,DX-1,DX-1.3
B0689,DX7,DX-1,DX-1.3
B069,DX7,DX-1,DX-1.3
B070,DX7,DX-1,DX-1.3
B078,DX7,DX-1,DX-1.3
B079,DX7,DX-1,DX-1.3
B08010,DX7,DX-1,DX-1.3
B08011,DX7,DX-1,DX-1.3
B0802,DX7,DX-1,DX-1.3
B0803,DX7,DX-1,DX-1.3
B0804,DX7,DX-1,DX-1.3
B0809,DX7,DX-1,DX-1.3
B081,DX7,DX-1,DX-1.3
