I9_DX,CCS,CCS_lvl1,CCS_lvl2,CCS_lvl3,CCS_lvl4
01763,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01764,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01765,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01766,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01770,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01771,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01772,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01773,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01774,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01775,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01776,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01780,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01781,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01782,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01783,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01784,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01785,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01786,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01790,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01791,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01792,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01793,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01794,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01795,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01796,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01800,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01801,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01802,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01803,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01804,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01805,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01806,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01880,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01881,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01882,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01883,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01884,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01885,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01886,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01890,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01891,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01892,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01893,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01894,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01895,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01896,DX1,DX-1,DX-1.1,DX-1.1.1,NA
1370,DX1,DX-1,DX-1.1,DX-1.1.1,NA
1371,DX1,DX-1,DX-1.1,DX-1.1.1,NA
1372,DX1,DX-1,DX-1.1,DX-1.1.1,NA
1373,DX1,DX-1,DX-1.1,DX-1.1.1,NA
1374,DX1,DX-1,DX-1.1,DX-1.1.1,NA
V1201,DX1,DX-1,DX-1.1,DX-1.1.1,NA
0031,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.5
0202,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.5
0223,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.5
0362,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.5
0380,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.1
0381,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.2
03810,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.2
03811,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.2
03812,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.2
03819,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.2
0382,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.5
0383,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.5
03840,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.4
03841,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.4
03842,DX2,DX-1,DX-1.1,DX-1.1.2,DX-1.1.2.3
